Text,Class,filtered_text
It's ok. very neat and clean hospital like square or others. but compared to square brb is less expensive and service is almost same. there's few good doctor as well.,positive,neat clean hospital like square others compare square less expensive service almost good doctor well
Well maintained and clean  private hospital in Dhaka city.,positive,well maintain clean private hospital dhaka city
I wasn't happy with any of there services. Specially doctors. They only after money. they don't really care about anything else. They don't have a time to listen to you and your full problem. And they are sooooo expensive. And many other …,negative,happy service specially doctor money really care anything else time listen full problem sooooo expensive many
We are happy  to  see indian dr in brb hospital. Thx BRB hospital. We want more Indian  drs.,positive,happy indian hospital hospital want indian
Dr sharad sonawane He is excellent  .soft spoken and thorough knowledge  and explain so nicely  and give valuable  time,positive,sharad sonawane excellent soft speak thorough knowledge explain nicely give valuable time
Dr. Sharad. D. Sonawane listened to me carefully to each of my complains & Prescribed me with a thoroughly planned prescription.,positive,sharad sonawane listen carefully complain prescribe thoroughly plan prescription
The service here is well but in holidays hospital authorities must improve the system here.,mixed,service well holiday hospital authorities must improve system
Services are quite expensive and stuffs are quite unprofessional.,negative,service quite expensive stuff quite unprofessional
Waiting for an endoscopy that was originally scheduled at 11 am. It's almost 1.30 pm now and still no sign of doctor. Nurses are quite rude and unwilling to …,negative,wait endoscopy originally schedule almost still sign doctor nurse quite rude unwilling
Their hotline number sucks. When it comes to take a serial a english speaking asthma patient type robo will start to talk what you wiol not understand at all but I am highly pleased with the service of BRB hospital. My wife was pregnant and …,negative,hotline number suck come take serial english speak asthma patient type robo start talk wiol understand highly please service hospital wife pregnant
Its renowned hospital for Gastro and all kind of medicine.,positive,renowned hospital gastro kind medicine
All medical personal is very expert here and well managed by a technical team,positive,medical personal expert well manage technical team
I went to the hospital several times and I found it charges a high price for average services. I went to a consultant and his service was worse. Another time I went to the emergency department and their approach was not appropriate. They …,negative,go hospital several time find charge high price average service go consultant service worse another time go emergency department approach appropriate
Very poor condition of cleaning. There is no male toilet in 7th and 8th floor. And I got that type of cleaning when i finally got it in 9th floor.,negative,poor condition clean male toilet floor type clean finally floor
Have some renowned Doctors.,positive,renowned doctor
Medical services are available. …,positive,medical service available
Very good Hospital,positive,good hospital
Trusted qualified Doctors..,positive,trust qualify doctor
Auxiliary staff are very kind and qualified.. …,positive,auxiliary staff kind qualify
Dr. Sharad. D. Sonawane. Glad to see Indian dr in BRB hospital.just a prompt service and proper explaination given.management should encourage this indian dr for the best of society Thx BRB.. N credit goes to my dearest dr sharad.,positive,sharad sonawane glad indian hospital prompt service proper explaination give management encourage indian best society credit go dearest sharad
Lack of experienced staffs. They do not know how to manage emergency condition. If you want to do health care business you have to provide with skilled staffs. Cost is too high for service and facilities. They are totally business minded.,negative,lack experience staff know manage emergency condition want health care business provide skilled staff cost high service facilities totally business mind
BRB Hospital is one of the famous hospital in Dhaka city.,positive,hospital famous hospital dhaka city
"BRB Hospitals Ltd. is a 308 bedded five star boutique hotel like hospital that provides 06 ‘Centres of Excellence’, specialized services and other ancillary supported by laboratory Medicine, Blood Transfusion Medicine, Radiology & Imaging, …",positive,hospitals bed five star boutique hotel like hospital provide centre excellence specialize service ancillary support laboratory medicine blood transfusion medicine radiology image
"Very nice, well equipped, we mainly went to gynacologist Dr. Foyza madam for follow up. She does painless delivery. Before she was in impulse hospital but now she is in BRB hospital.",positive,nice well equip mainly go gynacologist foyza madam follow painless delivery impulse hospital hospital
Just giving 5 star just because of Indian dr sharad sonawane.its insulting from hospital side to make loss of early  departure of him.he is biggest asset.rest we r visiting just boss of him.he is leaving now...think twice,positive,give star indian sharad sonawane insult hospital side make loss early departure biggest asset rest visit boss leave think twice
Worst medical service like others top hospitals in bangladesh. They are marketing their hospital in the name of big fish doctors in Bangladesh but their duty doctors are just good for nothing. they all are doing nothing but sleeping on duty …,negative,worst medical service like others hospitals bangladesh market hospital name fish doctor bangladesh duty doctor good nothing nothing sleep duty
"In level-4,the behaviour of receptionist & a female stuff are too much bad...they should improve their attitude& shouldn't cross their limit also!!!",negative,level behaviour receptionist female stuff much improve attitude cross limit also
"I have visited Dr. Sharad D sonawane from Indi,  he is so humble and nice person, he listend all my problems carefully and  gave me good suggestion,  thankfull to him and his  nice service.🙂",positive,visit sharad sonawane indi humble nice person listend problems carefully give good suggestion thankfull nice service
"It’s a BRB group associative organization BRB Hospitals Ltd is a multidisciplinary hospital located at Panthapath, the center of Dhaka city, it is an international standard tertiary level hospital fully equipped with state-of-the art …",positive,group associative organization hospitals multidisciplinary hospital locate panthapath center dhaka city international standard tertiary level hospital fully equip state
"This hospital is just for the people who's money grows on a tree. 4days In general bed they billed me 80thousands taka. Without even any surgery or ERCP. Who wants luxury in hospital, people need reasonable expenses with proper treatment. …",negative,hospital people money grow tree general bill taka without even surgery ercp want luxury hospital people need reasonable expense proper treatment
My father in law is admitted in this hospital under the supervision of doctor sharad d sonawane.we are very pleased with his behaviour and he is very helpful and caring.,positive,father admit hospital supervision doctor sharad sonawane please behaviour helpful care
"BRB Hospitals Ltd is a multidisciplinary hospital located at Panthapath, the center of Dhaka city, it is an international standard tertiary level hospital fully equipped with state-of-the art medical technologies. Renowed Doctors & medical …",positive,hospitals multidisciplinary hospital locate panthapath center dhaka city international standard tertiary level hospital fully equip state medical technologies renowed doctor medical
Received good service from staffs.,positive,receive good service staff
Very poor Service with high charge interestingly they will not let you know day to day bill if u admit to the hospital.then finally they give you a large amount of bill without giving you a valid explanation of bill which is unbearable for …,negative,poor service high charge interestingly know bill admit hospital finally give large amount bill without give valid explanation bill unbearable
So far this Hospital seems good.,positive,hospital seem good
BRB Hospitals Limited.,positive,hospitals limit
"this is Ex Gestoliver Hospital Ltd, this is now as new BRB Hospital, after migration there service is now batter then Gestoliver. but services cost is very …",mixed,gestoliver hospital hospital migration service batter gestoliver service cost
"Only Dr. Mohsin kabir was good. All stuff of this hospital doesn't know the manners. Duty doctor's knowledge & behavior level is not good . And the bill oh my good !! Procedure charge , Other charges, Service charge bla bla.. blaa …",negative,mohsin kabir good stuff hospital know manners duty doctor knowledge behavior level good bill good procedure charge charge service charge blaa
Thanks for appointing dr sharad in brb.the way he give service to the patients is great.we wants him to stay in brb for the betterment of patients treatment.,positive,thank appoint sharad give service patients great want stay betterment patients treatment
Their care line number 10647 is worse service ever. Not getting any response in emergency.,negative,care line number worse service ever get response emergency
"I have visited Dr. Sharad D sonawane from Indi,  he is so humble and nice person, he listend all my problems carefully and  gave me goos suggestion,  Thank you for Their nice service",positive,visit sharad sonawane indi humble nice person listend problems carefully give goos suggestion thank nice service
My father was terminally ill in icu we lost all hopes just there we meet dr sharad sonawane.he saved my father.we are thankful to God that myfather survived.we want more drs like dr sharad sonawane.its best hospital,positive,father terminally lose hop meet sharad sonawane save father thankful myfather survive want like sharad sonawane best hospital
Service is good in gynecologist dept,positive,service good gynecologist dept
It’s a well organised hospital. Their behaviour is very good. Environment is good and staffs are friendly as well. But it is expensive for the route level people. It is quite hard to bear the expenses for the general people.,positive,well organise hospital behaviour good environment good staff friendly well expensive route level people quite hard bear expense general people
Service of the hospital is good. They maintain the cleanliness. They use the modern equipment's. The canteen inside the hospital serves good and quality food for the visitors.,positive,service hospital good maintain cleanliness modern equipment canteen inside hospital serve good quality food visitors
A rising Good quality Hospital in panthopath. All major departments including Vascular Surgery services are available here. Renowned Gastro-Liver Surgeon Prof. Dr. Mohammad Ali and Nephrologist Prof. Dr. M. A. Samad are here.,positive,rise good quality hospital panthopath major departments include vascular surgery service available renowned gastro liver surgeon prof mohammad nephrologist prof samad
We need more doctors like this. Very patient friendly. Dr sharad explained nicely about my patient.,positive,need doctor like patient friendly sharad explain nicely patient
I am very happy n glad to see dr sharad indian dr.now i  dnt have to go India.thx BRB,positive,happy glad sharad indian india
Dr. Sharad. D. Sonawane MD (Medicine) Indian Doctor. Her treatment is Excellent service. We want more Indian drs,positive,sharad sonawane medicine indian doctor treatment excellent service want indian
BRB Hospital is most prominent now a days. Well decor and Clean. They insure quality service. There Doctors are very well known in countries.,positive,hospital prominent days well decor clean insure quality service doctor well know countries
Treatment quality is poor. This review is written from real life experience.,negative,treatment quality poor review write real life experience
I am very glad n happy from dr.sharad indian and the most intresting part is i dont need to go india we need more indian drsssss,positive,glad happy sharad indian intresting part dont need india need indian drsssss
i am happy with dr sharad indian dr.we want hi m in brb..management  should hold him back.he is such a gem doctor,positive,happy sharad indian want management hold back doctor
Too much neat & clean hospital. Medical served is good.,positive,much neat clean hospital medical serve good
"Prof. Dr. Mahbub H Khan (liver specialist) is a very bad & commercial person. His behaviour & treatment is not good. Oni doctor hoyeo ter kothabarta dandabaz + akjon dalal er moto. Jei vab niye thake, mone hoy oni morbe na, mittur medicine …",negative,prof mahbub khan liver specialist commercial person behaviour treatment good doctor hoyeo kothabarta dandabaz akjon dalal moto niye thake mone morbe mittur medicine
Great service and good doctors. Neat and clean. Even the cafeteria is also excellent. Serves good and healthy foods.,positive,great service good doctor neat clean even cafeteria also excellent serve good healthy foods
On of the best hospital in this area..,positive,best hospital area
Well farnished ..,positive,well farnished
Smart management …,positive,smart management
"One stop centre, specialised doctors and nursing team for mother and child care centre most modern operation theatre and labor, also NICU facilities for new born baby, 24 hour specialised doctor, also baby feeding corner.",positive,stop centre specialise doctor nurse team mother child care centre modern operation theatre labor also nicu facilities bear baby hour specialise doctor also baby feed corner
"This hospital is over-rated; Doctor Kazi Foyza is no other exception too. We tend to follow social media too much, we should come back to reality.",negative,hospital rat doctor kazi foyza exception tend follow social media much come back reality
"Dr. Sharah D. Sonawane(Senior Consultant - Internal Medicine) is very helpful, nice behavior and very Conscious.",positive,sharah sonawane senior consultant internal medicine helpful nice behavior conscious
"It is a very nice looking, modern hospital. I admitted my father here and now he is much better than previous. Well treatment.",positive,nice look modern hospital admit father much better previous well treatment
"Dr. Sharad D. Sonawane(Senior Consultant - Internal Medicine) is very helpful, and a friendly doctor.",positive,sharad sonawane senior consultant internal medicine helpful friendly doctor
"One of best hospital of Dhaka city,",positive,best hospital dhaka city
Very bad,negative,
Nice atmosphere & neat environment....,positive,nice atmosphere neat environment
We went to doctor sharad d. sonawane.Doctor's service and behaviour both were good.,positive,go doctor sharad sonawane doctor service behaviour good
"Interior is beautiful, nicely maintained. A lot of equipments seem to be old. The staff is inexperienced. Specialists and Junior doctors seem to be sincere.",mixed,interior beautiful nicely maintain equipments seem staff inexperienced specialists junior doctor seem sincere
I m taking service from last year from Dr. Sharad and he is providing good treatment.,positive,take service last year sharad provide good treatment
The place is okay. Charges are very high though. So be sure u can afford it's services before entering.,mixed,place okay charge high though sure afford service enter
"Dr. Sharad MBBS, MD (Medicine), India. Her treatment is good. Now I better feel. Thanks",positive,sharad mbbs medicine india treatment good better feel thank
Good.,positive,good
"Very good hospital,  clean and clear place.. Have nice Service & quality.  Love it",positive,good hospital clean clear place nice service quality love
One of the good hospital near Panthopath.,positive,good hospital near panthopath
"If you have enough financial ability, you'll get the chance to afford the cost of here.",negative,enough financial ability chance afford cost
"Clean, well furnished and very good services...",positive,clean well furnish good service
Very good infrastructure. Management have some weakness. They have most of the logistics for Epilepsy surgery and surgery for Parkinson’s disease,mixed,good infrastructure management weakness logistics epilepsy surgery surgery parkinson disease
I had the opportunity to meet Dr. SHARAD and it was although a pleasant service from all across.,positive,opportunity meet sharad although pleasant service across
Worst hospital service. Worst gynaecologist doctor we ever faced. Village er dai rao erokom service deyna.,negative,worst hospital service worst gynaecologist doctor ever face village erokom service deyna
Good place for specialist doctors. Well qualified doctors are available here. Not very expensive. Good combination of services and expenses,positive,good place specialist doctor well qualify doctor available expensive good combination service expense
I was admitt here for 4 days. They billed me 78000+ some. I was under care of dr. AQM Mehsin sir. He is good. I am now fine. Feeling normal.,mixed,admitt days bill care mehsin good fine feel normal
Very good service,positive,good service
Wow it's great..,positive,great
"Really nice, beautiful, hygienic and costly hospital. Last time I am in here about 21 August 2017 for donating blood.",positive,really nice beautiful hygienic costly hospital last time august donate blood
IT's Begets Hospital in Panthopoth Dhaka,positive,beget hospital panthopoth dhaka
The number for serials are too much busy. Even after being rung the receiver didn't pick any phone.,negative,number serials much busy even ring receiver pick phone
Duty Manager should be replaced by a new one. Existing one is a good for nothing and lack professionalism and bearing reactive attitude. Please either train him or recruit new one.,negative,duty manager replace exist good nothing lack professionalism bear reactive attitude please either train recruit
Its very best for gastroliver patients..bt its cost is little high..i think its best because patients get well from various liver disease,mixed,best gastroliver patients cost little high think best patients well various liver disease
This is a corporate hospital. It brings happiness to people. May Allah accept our rewards.,positive,corporate hospital bring happiness people allah accept reward
Excellence in health services,positive,excellence health service
"Dr. Sharad. D. Sonawane,,, sir,thanks to you for the best treatment,, i am greatful to you.",positive,sharad sonawane thank best treatment greatful
"Quality service with quality doctors. Location is very good , very well outlook and awesome environment. Its Expensive.",positive,quality service quality doctor location good well outlook awesome environment expensive
"class one hospital in Dhaka. Some of popular physician available here like as gastroenterology, Nephrology, Oncology etc.",positive,class hospital dhaka popular physician available like gastroenterology nephrology oncology
High cost fee. But treatment is good,mixed,high cost treatment good
This is a private oraganization. So their most services out of general people cause of expense. But this is the best place for liver problem,mixed,private oraganization service general people cause expense best place liver problem
Dr Sharaf D Sonawane sir's treatment is very good.,positive,sharaf sonawane treatment good
Very good service.we are happy to have Indian Dr.,positive,good service happy indian
Very poor Service with high charge interestingly they will not let you know day to day bill if u admit to the hospital.then finally they give you a large amount of bill without giving you a valid explanation of bill which is unbearable for …,negative,poor service high charge interestingly know bill admit hospital finally give large amount bill without give valid explanation bill unbearable
one of the First class hospital in bd,positive,first class hospital
Very poor contacting system....  They dont response over phone properly even cut the line....,negative,poor contact system dont response phone properly even line
Doctor and services are good but price is too much. It should be reduced so that more people can avail it,mixed,doctor service good price much reduce people avail
Service totally disappointing....,negative,service totally disappoint
Hospitality also disappointing....,negative,hospitality also disappoint
Good!,positive,good
Very happy service with Dr sharad.thx a lot.,positive,happy service sharad
Treatment is ok and doctors are experienced but price is high. Service is not outstanding but average.,mixed,treatment doctor experience price high service outstanding average
This is Gasto Liver hospital. This hospital care is not  good.Many Service Charge are including our Bill.,negative,gasto liver hospital hospital care good many service charge include bill
There treatment is good tho but the hospital need to be clean & germs free.,mixed,treatment good hospital need clean germs free
Best hospital in Panthapath with expert   doctors and nurses. Best for Blood tests.,positive,best hospital panthapath expert doctor nurse best blood test
excellent,positive,excellent
Thanks,positive,thank
One of the best private hospital.,positive,best private hospital
❣️,positive,
They're not care about patients time,negative,care patients time
"anytime,any situation they are ready to serve you esoeciallyy behaves of fhe staff",positive,anytime situation ready serve esoeciallyy behave staff
Every medicine available in there...,positive,every medicine available
Nice,positive,nice
Their service is good enough.,positive,service good enough
This is a new great hospital. The hospital authority has improved their old hospital to this new form.,positive,great hospital hospital authority improve hospital form
This place is great.,positive,place great
"Formerly known as Gastroliver Hospital, renamed as BRB Hospitals. Specialized hospital for Gastrointestinal   diseases.",positive,formerly know gastroliver hospital rename hospitals specialize hospital gastrointestinal diseases
Worse doctor service,negative,worse doctor service
"Extremely slow USG operators, not recommended for any kind of tests.",negative,extremely slow operators recommend kind test
Service quality is quite impressive.,positive,service quality quite impressive
Little bit expensive but a good hospital for better care for patient.,mixed,little expensive good hospital better care patient
One star for there service very slow in hospital and there is no fruits juices in cafe restaurant canteen in hospital😳😒👎,negative,star service slow hospital fruit juices cafe restaurant canteen hospital
Need to improve medical services.  Very expensive if you compare with Their services.,negative,need improve medical service expensive compare service
Very neat and clean Hospital.,positive,neat clean hospital
Average Treatment and other services.,negative,average treatment service
They are not concer about patients time and they're management is just worst,negative,concer patients time management worst
Good pharmacy,positive,good pharmacy
Best quality service.,positive,best quality service
Good,positive,good
Very Good,positive,good
Very Poor service and high price. Doesn't have good physicians.,negative,poor service high price good physicians
they're very  professional.,positive,professional
Overwhelmed by their hospitality,positive,overwhelm hospitality
Good Hospital for patients care.,positive,good hospital patients care
I think this is the best privet hospital in our country,positive,think best privet hospital country
Good service.happy with dr sharad,positive,good service happy sharad
Service - 10/10,positive,service
Behaviour  10/10 …,positive,behaviour
Unprofessional behaviour from Dr.foyza munni & other staff,negative,unprofessional behaviour foyza munni staff
Great services but expensive. 24 hours pharmacy available here.,mixed,great service expensive hours pharmacy available
Nice environment due to COVID-19 situation,positive,nice environment covid situation
Nice and clean.,positive,nice clean
Their service better than samorita...,positive,service better samorita
"Poor service at high price. Moreover, doesn't have renowned physicians.",negative,poor service high price moreover renowned physicians
It was great,positive,great
everything ok,positive,everything
Expensive but good service,mixed,expensive good service
Service of the hospital is better than local hospitals.,positive,service hospital better local hospitals
Good but expensive,mixed,good expensive
Physiotherapy centre is well equipped and awesome.,positive,physiotherapy centre well equip awesome
"Service and treatment both are good,",positive,service treatment good
But expensive hospital.,negative,expensive hospital
Good hospital,positive,good hospital
Thanks for your appreciations,positive,thank appreciations
Good hospital for liver disease patients.,positive,good hospital liver disease patients
"Great hospital if you have the ""money""",mixed,great hospital money
one of the best private hospital in dhaka,positive,best private hospital dhaka
"No experience, no professionalism, and under staffed.",negative,experience professionalism staff
They recently moved to this new building. They are one of the pioneer in liver hospitalizing.,positive,recently move build pioneer liver hospitalize
Very expensive,negative,expensive
It was a great experience in this hospital,positive,great experience hospital
This’s good Hospittal.,positive,good hospittal
good security well design and have some good doctor,positive,good security well design good doctor
It's ok in regarding health services,positive,regard health service
Hospitals indor pharmacy,positive,hospitals indor pharmacy
Previously known as Gastro lever hospital.,positive,previously know gastro lever hospital
BRB hospital is the most Expensive and Beautiful hospital  in The area,mixed,hospital expensive beautiful hospital area
Private Hospital,positive,private hospital
Best Service & Treatment Cost,positive,best service treatment cost
"Nice Hospital,Sister concern of BRB Group",positive,nice hospital sister concern group
Good enough,positive,good enough
Good hospital. Very clean.,positive,good hospital clean
neat and clean!!,positive,neat clean
beautiful and marvelous building,positive,beautiful marvelous build
"For liver issues, this hospital is highly recommended",positive,liver issue hospital highly recommend
Very clean hospital.,positive,clean hospital
one of the best hospital of dhaka.,positive,best hospital dhaka
Neat and clean hospital,positive,neat clean hospital
Iam so disappointed this hospital and nurse service.,negative,disappoint hospital nurse service
Very good hospital and nice facilities,positive,good hospital nice facilities
"Servicess are not so satisfactory,  too much expensive...",negative,service satisfactory much expensive
better services for health check and other.,positive,better service health check
best treatment for gastroenterology in bangladesh,positive,best treatment gastroenterology bangladesh
This hospital was knowns as gastro liver hospital,positive,hospital knowns gastro liver hospital
very good service but it's very expensive.,mixed,good service expensive
Too much expensive,negative,much expensive
Private hospital 🏥 specialized liver & kidney,positive,private hospital specialize liver kidney
Awesome service.,positive,awesome service
What a luxury! I don't know about the services.,mixed,luxury know service
So expansive..,negative,expansive
they are popular for liver treatment.,positive,popular liver treatment
Its ok,positive,
"Quite expensive, overall nice treatment.",mixed,quite expensive overall nice treatment
Till now good experience,positive,till good experience
It's Very helpful.,positive,helpful
Professionalism at its best,positive,professionalism best
This place is also known as BRB Hospital,positive,place also know hospital
Good service but costly,mixed,good service costly
More expensive but better service,mixed,expensive better service
Good for liver treatment.,positive,good liver treatment
very good,positive,good
Service cost are too high,negative,service cost high
well behaved & tremendous caring,positive,well behave tremendous care
good,positive,good
Good service,positive,good service
"Gastro Liver Hospital,  is a big Hospital in Bangladesh",positive,gastro liver hospital hospital bangladesh
"good hospital, little  bit commercial",mixed,good hospital little commercial
Very expensive,negative,expensive
Best hospital for their care,positive,best hospital care
Good Service but Expensive,mixed,good service expensive
24 hour emergency,positive,hour emergency
Clean medical with good doctors..,positive,clean medical good doctor
BRB Hospitals,positive,hospitals
Hospital looks nice,positive,hospital look nice
good one for gastroliver.,positive,good gastroliver
Very well hospital,positive,well hospital
Good Gastroliver Hospital,positive,good gastroliver hospital
average good service.,positive,average good service
Provide good care...,positive,provide good care
Good but cheaper,positive,good cheaper
Very clean environment.,positive,clean environment
Good Hospital,positive,good hospital
"BRB Hospital Ltd., 69/D, Green Rd, Dhaka 1205, Bangladesh",positive,hospital green dhaka bangladesh
Best  for intestinal care,positive,best intestinal care
Neat & clean,positive,neat clean
Expensive hospital,positive,expensive hospital
Net and clean hospital 🏥,positive,clean hospital
good,positive,good
how nice,positive,nice
Nice,positive,nice
Good,positive,good
Excellent,positive,excellent
Good,positive,good
best,positive,best
tomorrow I will come,positive,tomorrow come
Good,positive,good
Expensive,negative,expensive
Woe,positive,
thanks four Your BRB,positive,thank four
👌🏻,positive,
nicr,positive,nicr
Good,positive,good
Good,positive,good
fine,positive,fine
Good,positive,good
Good service.,positive,good service
nice,positive,nice
very cleaning hospital,positive,clean hospital
Good Facilities,positive,good facilities
Clean atmosphere.,positive,clean atmosphere
Money making organization,negative,money make organization
better,positive,better
Good,positive,good
High class hospital.,positive,high class hospital
Good treatment,positive,good treatment
All is well!,positive,well
Hospital,positive,hospital
Good hospital,positive,good hospital
BRB Hospital of BRB Group,positive,hospital group
good in service,positive,good service
Good service,positive,good service
BRB Hospital,positive,hospital
Clean Hospital,positive,clean hospital
BRB Hospital Limited,positive,hospital limit
Good Hospital,positive,good hospital
Specialised hospital,positive,specialise hospital
Nice place,positive,nice place
A Private Hospital,positive,private hospital
NICE PLACE,positive,nice place
Reliable hospital,positive,reliable hospital
unpopular hospital,negative,unpopular hospital
BRB Hospital,positive,hospital
Nothing happens here on time and that is really problematic for job holders who manage a time frame for the doctors from workplace. I’ve consulted with two doctors here and none of the appointments occurred on time. Had to wait hours for …,negative,nothing happen time really problematic holders manage time frame doctor workplace consult doctor none appointments occur time wait hours
SErvices are a bit slow and not organized though,negative,service slow organize though
"(Translated by Google) BRB Hospital, located in the heart of the capital Dhaka, next to Dhanmondi, Dhanmondi No. 32 is located around the corner of Kawran Bazar Road, BRB Hospital, a little west of the Panthapath signal Return home with …",positive,translate google hospital locate heart capital dhaka next dhanmondi dhanmondi locate around corner kawran bazar road hospital little west panthapath signal return home
"(Translated by Google) BRB Hospitals Limited, located at Panthapath, right next to Samaritan Hospital. An international standard corporate hospital. The country is equipped with the best specialist doctors and the latest technology, …",positive,translate google hospitals limit locate panthapath right next samaritan hospital international standard corporate hospital country equip best specialist doctor latest technology
(Translated by Google) BRB Cable is a well known company. BRB Hospital belongs to the same group. Their hospital has gained a good reputation in just a few days. …,positive,translate google cable well know company hospital belong group hospital gain good reputation days
"(Translated by Google) A good quality hospital,",positive,translate google good quality hospital
"In particular, the best hospital for patients with gastrolyrae in the whole of Bangladesh, …",positive,particular best hospital patients gastrolyrae whole bangladesh
(Translated by Google) Parking arrangements are not good. There is no good way to move the patient and keep the car. Even then I gave one star. …,negative,translate google park arrangements good good move patient keep even give star
(Translated by Google) How bad the doctors at BRB hospital are. I am going to show Faiza and hold her ear. I will not take anyone else. They are vampires …,negative,translate google doctor hospital go show faiza hold take anyone else vampires
(Translated by Google) It is one of the best quality hospital in Bangladesh,positive,translate google best quality hospital bangladesh
"(Translated by Google) There is no medical feeling, but the service is very good …",mixed,translate google medical feel service good
(Translated by Google) Very poor hotline service. Tried to contact with them through their mobile number and hotline number 10647. They don't pickup phone calls. It's very annoying. Allah knows good about their service. Who knows the …,negative,translate google poor hotline service try contact mobile number hotline number pickup phone call annoy allah know good service know
(Translated by Google) Dakat Hospital ekta,negative,translate google dakat hospital ekta
Treatment is not for the faint-hearted,negative,treatment faint hearted
Hospital dhuklei test r test diye 1 dinei lakh tkr bill banay dibe …,negative,hospital dhuklei test test diye dinei lakh bill banay dibe
(Translated by Google) Valo lage nai. Soja shapta kotha.,negative,translate google valo lage soja shapta kotha
(Translated by Google) Medical services are much better but the cost is much higher. …,mixed,translate google medical service much better cost much higher
(Translated by Google) How many wards of BRB Hospital dhaka north city corporation are included? …,negative,translate google many ward hospital dhaka north city corporation include
(Translated by Google) Onader kothar thik nai. Patient re faijlami paise.,negative,translate google onader kothar thik patient faijlami paise
Faul advertise kore. Patient er serial dibe .... call dilo .... receive e kore …,negative,faul advertise kore patient serial dibe call dilo receive kore
"(Translated by Google) Dr.sharad.D.Sonawane He is a very good doctor, he has seen our patient in a very good way ..",positive,translate google sharad sonawane good doctor see patient good
He takes good care of our ICU patient ... …,positive,take good care patient
(Translated by Google) Dr. Fayeza is a great butcher. Don't forget to take someone pregnant. This woman is a 100% commercial doctor! He gives money to the patient by showing false fear. I will never forget …,negative,translate google fayeza great butcher forget take someone pregnant woman commercial doctor give money patient show false fear never forget
(Translated by Google) Cooler than a BRB fan.,positive,translate google cooler
"(Translated by Google) The hospital environment is very, very beautiful. Very clean. However, lower class people will not be able to get treatment there. Even if the middle class can do it, they have to work hard. However, the doctors are …",positive,translate google hospital environment beautiful clean however lower class people able treatment even middle class work hard however doctor
(Translated by Google) Dr. Sharad.D. Sonawane. MBBS. MD (Medicine) india. He is a very good doctor. We want him in this hospitality. …,positive,translate google sharad sonawane mbbs medicine india good doctor want hospitality
"(Translated by Google) Bad hospital, so bad management.",negative,translate google hospital management
negativereviews. Although they said that these reviews are TV or FAO.6 …,negative,negativereviews although say review
"(Translated by Google) BRB Hospitils Ltd. is cutting the pockets of the general public in the name of medical treatment by distributing capital to some standard doctors for a large sum of money. The quality of treatment here is very bad, I …",negative,translate google hospitils cut pocket general public name medical treatment distribute capital standard doctor large money quality treatment
"(Translated by Google) From personal experience, I did not like their behavior. The doctor I was talking to (I don't know the name but if anyone wants to know) I started talking in a threatening tone and in English. My guess was that it was …",negative,translate google personal experience like behavior doctor talk know name anyone want know start talk threaten tone english guess
"(Translated by Google) Japanese cars like to see them! But the service, such as China car!",negative,translate google japanese cars like service china
"(Translated by Google) The quality of the service is overwhelming! There doesn't seem to be anyone to supervise. Anyone who acts as he wishes, tells stories, chats! Time is not important to anyone, the money is the key to them. …",negative,translate google quality service overwhelm seem anyone supervise anyone act wish tell stories chat time important anyone money
"Alhamdulillah sir, my grandfather is healthy by the grace of Allah in the service of sincerity. Pray from the heart for this sir. May Allah grant long life to …",positive,alhamdulillah grandfather healthy grace allah service sincerity pray heart allah grant long life
(Translated by Google) The hospital's environment is very nice and their service is also good. They are very sensitive and caring about patients. They do not get outside food and more visitors. But the negativeside is their hospital fees …,positive,translate google hospital environment nice service also good sensitive care patients outside food visitors negativeside hospital fee
(Translated by Google) We came here because they tried to misguide us by saying something else. We are hostages to the business of these hospitals and doctors. …,negative,translate google come try misguide say something else hostages business hospitals doctor
(Translated by Google) I did not get any benefit from the web site. No link works. …,negative,translate google benefit site link work
(Translated by Google) Very good gastoliver special hospital,positive,translate google good gastoliver special hospital
(Translated by Google) There is no web site that ........ do not enter the doctor's call on the same number. …,negative,translate google site enter doctor call number
(Translated by Google) The service is good but the neck cut costs,mixed,translate google service good neck cost
"(Translated by Google) Good quality hospital, but the cost is a little more",mixed,translate google good quality hospital cost little
"(Translated by Google) Business is their goal, not service.",negative,translate google business goal service
(Translated by Google) Good quality hospital,positive,translate google good quality hospital
amaging,positive,amaging
Extra Comercial.,negative,extra comercial
"(Translated by Google) New hospital, quality of service is good",positive,translate google hospital quality service good
(Translated by Google) Good service is available,positive,translate google good service available
(Translated by Google) Nice to see from the outside,positive,translate google nice outside
(Translated by Google) light services,negative,translate google light service
valo services,positive,valo service
(Translated by Google) Management is good.,positive,translate google management good
(Translated by Google) Liver expense,negative,translate google liver expense
"BSH has all the characteristics of a world-class hospital with wide range of services and specialists, equipments and technology, ambience and service quality. The hospital is a showcase of synergy of medical technology and advances in ICT …",positive,characteristics world class hospital wide range service specialists equipments technology ambience service quality hospital showcase synergy medical technology advance
Mismanagement at it's best. I was consulted with Prof. Dr. Khaled Mohsin at that hospital about my grandma. Doctor suggested us a Echo test. I paid the money and came to the Echo room. The stuffs told us to wait for one and a half an hour …,negative,mismanagement best consult prof khaled mohsin hospital grandma doctor suggest echo test pay money come echo room stuff tell wait half hour
